tulajdonsag,ertek,egyseg,darabszam,egyedi_hash
tömeg,0.095,kg,1,52d51fb13da060d3d038d64c76e583cfbe46960841757f0731177fa98bde4b87
tömeg,0.2,kg,1,35b7bd1cce7f3952742c1a36efb79e403ff7a15ff1e5895d0b57e6f182fc0176
tömeg,0.16,kg,1,b378e5c21253918efbe9c4435d7ba60bc893eca22c167c19f444bdbeac223e68
tömeg,0.32,kg,1,cb30c03030e3b892614a799ad555af38a5c94e1e0a9a820c398fc8a0289b0bb0
tömeg,0.24,kg,1,cab027638b430b8642785413375b684736cbfa254b3e17a7ec2e64bad1fa0651
tömeg,0.5,kg,1,d67973c7d8e4835812e99bdc948b2c090d193e175b3a9e039e79cd345607bdbc
tömeg,0.8,kg,1,9dd474d24ae92be93e8b64616a651b5f93441bf4acca2ae866c95e18d70b99f4
tömeg,0.13,kg,1,84c865066ba291cb04ad9aebd741a8930e04e1a15f31b0ee9d4f48911e17a910
űrtartalom,0.5,l,1,5b9a5b79f7e397501ea88fd522a5df5423f4eca105946af1b6cea2b94323fe0a
űrtartalom,1,l,1,bb00d6581d07fe484cf708c07e3497afb0fba40414866d5bbebe310f130a324e
űrtartalom,1,l,1,db67773109ef933247ad7047faf6070e5dc6102adfd4e50b100ed1ab494f0c4f
űrtartalom,0.75,l,1,8a8594ec17cc8e68eceb83452ba53cc4222a8d1fc11e6daa75feb2d3a3707851
tömeg,0.1,kg,1,1f01cfe52cd47ffd503d634a2e1c4c45c67b98e68a03cf0e2357604d6aeace61
tömeg,0.07,kg,1,8e4e408162755e8cd830784f0d6d21e7c283d22a4a83b5428ac8d0e390a8394b
tömeg,0.2,kg,1,9efd7bba51520f8e3f83f4314c6d791890c80f0e7599e5688b0a56970fef0f3c
tömeg,0.125,kg,1,742ae4c3379e795df266df72f0bc271cb8c71a1f380e6cdd40bdb1019264a127
tömeg,0.15,kg,1,870de0a754bf9583f804b75cede904f54d85e0406b58606a8ea802cad2327439
tömeg,0.09,kg,1,c15240463743394f8e1c27f2c99cdfb783d017cf5196f1fcb454413ac1274e86
tömeg,0.04,kg,1,e0078078ab4e04f38509654afc3c0f4f6aadd707ba8f1fb3aef356346c0bcad7
tömeg,0.2,kg,1,ce97b78c5954241e69c92904bdf85cb4f1952f69854b593452f334517df3a205
tömeg,0.13,kg,1,cedfac212d99a68573f3b19e0b6c1d5b5192362b8812e30221daf8b15dd0a22a
tömeg,0.06,kg,1,869004188879196ac708044bf7dd548688038c77b83b87697f21d3a33affd7af
tömeg,0.1,kg,1,95c4c64329edfbe08418a371eeb510596f2f47a948248bc42bc849bd3233d466
tömeg,0.3,kg,1,7212ab4accb6bf7c92a097eada774feff7a15cc3e204c783d161d35933bcab7c
tömeg,0.25,kg,1,5d3f23b3caa518c80162450fb5316ea921961b003d79f55e114635f01e233510
tömeg,0.7,kg,1,75544e3f72b99d8de8aa532aa48585e1c0fb5bd3e4767876bbd2ef56e9adc936
tömeg,0.05,kg,1,a493c4a0cdcc96fbd6b5946f59a13a038744ef884653b45bc72b49c0e10492f0
tömeg,0.18,kg,1,04dc3f3eaca9ba4d1514d9c3e3f66c46e6c52ba1fbc168421d13af26b72924e4
darabszám,1,db,1,04dc3f3eaca9ba4d1514d9c3e3f66c46e6c52ba1fbc168421d13af26b72924e4
tömeg,0.45,kg,1,60d5abaa9eaab0ec4a053caceaffd3766548258cc4ada6f18d5e4a25aabe1825
tömeg,0.15,kg,1,3771b0405aeda8c626a494cae7ea59dcc8c92b86902806c4a841118a18f6e1b3
tömeg,0.2,kg,1,3f59293d0667856a60b5b5850eb4991bc1e3024249a93b9dcd2ae0f74b263d72
tömeg,0.12,kg,1,f0ead4a5c1e4f02f7614668addca75f3633d441cf3fb919823d6d1b5583f20f0
tömeg,0.1,kg,1,d605a515c4c4a2633c75dc0a267675b4f2e03519aec7f1af9bff81f1da453381
darabszám,1,db,1,d605a515c4c4a2633c75dc0a267675b4f2e03519aec7f1af9bff81f1da453381
tömeg,0.055,kg,1,7d12e7e953c924efc2d62105bf54a984a2d14c708ad7cff4a31ab1bad8b15873
tömeg,0.07,kg,1,7d12e7e953c924efc2d62105bf54a984a2d14c708ad7cff4a31ab1bad8b15873
tömeg,0.156,kg,1,c8bdac023e93875395176d808f852197b7ceec6f94503e9ff3c724cd3d3c3a1b
tömeg,0.062,kg,1,afac57d0eb8cab241073ea53ec8f65b249c113269779aead2a3313e6f885dcbf
tömeg,1,kg,1,afac57d0eb8cab241073ea53ec8f65b249c113269779aead2a3313e6f885dcbf
darabszám,1,db,1,455da94630b63a97209dd7955adb9891de8d5d9ce2ac75c242d3d12e5978b470
tömeg,0.062,kg,1,cc7223b890ebf426a85ed3cd6cbf46801ac67d890b3c7f811515d23452450cfe
tömeg,0.059,kg,1,cc7223b890ebf426a85ed3cd6cbf46801ac67d890b3c7f811515d23452450cfe
tömeg,0.043,kg,1,cc7223b890ebf426a85ed3cd6cbf46801ac67d890b3c7f811515d23452450cfe
darabszám,1,db,1,cc7223b890ebf426a85ed3cd6cbf46801ac67d890b3c7f811515d23452450cfe
tömeg,0.092,kg,1,9e12a5ab2c1bc97925095638e8095fe23a7328095fd18aafaf609954bc9f1155
tömeg,0.093,kg,1,9e12a5ab2c1bc97925095638e8095fe23a7328095fd18aafaf609954bc9f1155
tömeg,0.18,kg,1,569229eea22e1660bcd82410a8f87221f069be342e83fdf639f4b2ce94ca460d
tömeg,0.43,kg,1,49d47c5e1984c6be3ef8e5585d9d21a2299f6b4c240e9db325555fe6dbfbb1f1
tömeg,0.255,kg,1,7a2dbcfc3277fa96c674d1fb83406405bbe2ae4f3d411efc05c3f21aa8130c82
tömeg,0.45,kg,1,7986d0b9be493c7d148d1aa0fd69ffe687884dfbd4cd2fe8e9b4859cdb38d9b2
tömeg,0.41,kg,1,5d3c6c589fad11d622f2d6159a059acb71615227a542db5262c4caaff93ee168
tömeg,0.5,kg,1,d956486aecf94c895347a3776e6ad61a82e692755d9b23f85f4016039ae47aa1
űrtartalom,0.25,l,1,46831daad9068d03ec229b51a70928be5471dba03237e8e42192f829ae43d667
tömeg,0.2,kg,1,e2e215e6426d50a76966a486274119c23835974ac7e5cfa886f58c57feafad2a
tömeg,0.5,kg,1,6fda8f770cbaafc7d940839e6de73300ac57b02e2803418a026f09260fe40956
tömeg,0.2,kg,1,c51c25aa908339512aba8ba5c70e9a7ed33ada4df710e9fce870ac47581c01f5
tömeg,0.7,kg,1,001a14d68566eeb5a91605dd17a38335f59b34f19d43d6cf81315a23a411d1b8
tömeg,0.61,kg,1,521d27b76406e48878d0768a8bfd96730b85d4eeb34e7bffb56f475f3dbbfbfa
tömeg,0.408,kg,1,165903d42709d2f6e42277905bb2f75305da915773ad9f0e872da797b2033e2a
tömeg,1,kg,1,70256ba893722765a8b210df46ea7baf45781674d9e3799c126b2e0a4f937d0c
tömeg,0.2,kg,1,91322c44417607af092665957429c48f6c3e775acd176130a1ec6636c886437d
tömeg,0.5,kg,1,5d67bb926ac045450f80cf374e56cbc69979dbb66eb108073ef4591e1d970946
tömeg,0.39,kg,1,43ac8d6b4b4197f484f637320d4ee009a8cc364c9223f3fc87325b16781794c9
tömeg,0.065,kg,1,a0bc87301878927f32392b0af94ff51ee95c9a95b99995ea50c824bfb6228676
tömeg,1,kg,1,daa9adbfb37d70ed17809b87ddab34ae7ce6680ed6a2bdef75f17adba56f25a6
tömeg,0.008,kg,4,4eb3d2907c7ef1119886a8b218be51da9077f9822ea7fb61f1deca0b86fc58a0
tömeg,0.5,kg,1,a82d948653d393630e2893bb37944b2c7963969228703608c2a861a3310fa424
tömeg,1,kg,1,9dacd299c8b959080e2bb2d0603f098a21711608a8de323a7a94c3902772c432
tömeg,0.1,kg,1,d0daa42931259537f240c0009aa787ded9631934d2f3843fec0a60c4a6daa18c
tömeg,0.6,kg,1,8b2c18d6fb331fa25ec7dffd6a090a133419aed6acdb971c3cc9e60ad85686b3
tömeg,0.0075,kg,10,6d4a4e6e9449d74e317189a0a00873e2ef83e038e5279b7fa174559b0ca1fb87
darabszám,9,db,1,417e916d3aec8137afacfd6a08e746e37241101ff531d64056af0ef30478d7c1
darabszám,1,db,1,417e916d3aec8137afacfd6a08e746e37241101ff531d64056af0ef30478d7c1
tömeg,0.017,kg,1,417e916d3aec8137afacfd6a08e746e37241101ff531d64056af0ef30478d7c1
tömeg,0.5,kg,1,3d264ff786ec061d8d48beecb741b40b23fccea414e4f5f599220b98eaccb793
tömeg,0.5,kg,1,afeeaab6cee8e0f73f816f7e9f76c8f633428b765c6b81355bb9f28814ac5384
tömeg,1,kg,1,afeeaab6cee8e0f73f816f7e9f76c8f633428b765c6b81355bb9f28814ac5384
tömeg,0.5,kg,1,e00a83aa98a9d71376ccd16cb5b113372b58de98595323ab559c0354e085d580
tömeg,1,kg,1,e00a83aa98a9d71376ccd16cb5b113372b58de98595323ab559c0354e085d580
tömeg,0.5,kg,1,7b5abcfc093b6956bc6c01904a313b8db478f1242958bb0465815f35391955a7
tömeg,0.5,kg,1,0d8ddb6b2bcb5bdc81814bd74321cc28bab4ef48d576994bf5db9c96224d064d
tömeg,0.5,kg,1,c876178f571fef24597184f1e29c6122f4e21e9783954ee2617561169f3b73e7
tömeg,0.5,kg,1,8b3b377c38a37e5411327496f2a19cba685e1784054bcd45434208a22780b969
tömeg,0.5,kg,1,fb696cd3ce78508288537ac69811d2df712eeb01094d2c969b547230ca000f3d
tömeg,0.22,kg,1,d3dcf994317497a31f762c0f6173559a1684f06b4ff27e8f4c715d15fee7ef0d
tömeg,0.5,kg,1,3bc3344507e31a113bd416e8f7f762cbd30afdc54d09098c3e113039c120745b
tömeg,0.5,kg,1,ba19c13703e46f4b460d5c2b602d8f6fb2dad7808d22c1a50583adc834412401
tömeg,0.5,kg,1,ca9a52b9b47a1e9b5feafcf1dafeeb16f08c944248779b30872e44bb4322428b
tömeg,0.25,kg,1,ba848529bfc54feb6d67710c8f22d006cb16252edfa8026efb314f25546bac7b
tömeg,1,kg,1,c6df14c9a8d02ee9f9c41b8433402cbb4ad001a55a13e1864dce6aab04ada75a
tömeg,0.35,kg,1,163e080af97145a96ac277c7397563bcc6be1e7f84f1c8f0d4183d903d100a86
tömeg,0.75,kg,1,a17fd01da8153aca1b64b7bb314c2b763d835e5cf79f68ad4f140760c23b27de
tömeg,0.324,kg,1,201869df9c03719f88dfa933b00f4717ba96119b29d564652cdb4fc43a20d208
tömeg,0.052,kg,1,c316011008d8e4f7e074b24d208db7aab51f2e8c1cfc8c561a8a4b841884ea17
tömeg,0.095,kg,1,d92bdff30f1c8f54572bb1d268a35ee2250499eba76d14d46b797dbfaa004e7d
tömeg,0.095,kg,1,f62e4d00a14023f24911919e18573c55a50e1a0d913fc69b9d1afae7ad10d324
tömeg,0.075,kg,1,b38f27efc35e1ed7c424267499f386fd0f083cbf8f87b0b8dbc6751d5fec4531
tömeg,0.1,kg,1,1b835d92eb3f48748cea743b86d01e11dc0b79f77d700b78646c6c1e85d49db9
tömeg,0.1,kg,1,e8716d54986c38944aa1e942cab1f089dd06cfc3703a0e64da735cd5251b7e56
darabszám,1,db,1,9305c92cbb75f717e825c23d32ff726775d3b536a9f23c7c9ef4b5644490da40
tömeg,0.095,kg,1,31b701a3d1c618950bc235e2f01bfede4bacaac58461b89baa4a04aa76b0e2fc
tömeg,1,kg,1,31b701a3d1c618950bc235e2f01bfede4bacaac58461b89baa4a04aa76b0e2fc
tömeg,0.068,kg,1,aaa2a4aae13541df1ee721b27fdeeb11b2910c8f32c49795777e26d5ad62227f
tömeg,1,kg,1,aaa2a4aae13541df1ee721b27fdeeb11b2910c8f32c49795777e26d5ad62227f
tömeg,0.08,kg,1,b7f61b4013fc291d2d01a6b8a4ce9989aefa767422934daf8a0425d557c3ea41
tömeg,0.1,kg,1,dcfa52fb7d9fdb8092baac6a9318f27c857d8eb13d8b1cba172aeb3e54398922
tömeg,0.1,kg,1,da4f6947a08c294148a0ce0d19b13816d317d1448085feb9c3639cef7431de9e
tömeg,0.09,kg,1,3b325a303b08ee63dd2fe08362396c993ae2f060b0c522e70d385815579495c3
tömeg,0.3,kg,1,1e670257e5fd854fa43463ada389299951559d0b2958363e19621d96bdbb3ec4
tömeg,1,kg,1,1e670257e5fd854fa43463ada389299951559d0b2958363e19621d96bdbb3ec4
tömeg,0.15,kg,1,acbfd74503ce0f59cf2e80e537664f30b6adabe684dd8e7d35872c175df96724
darabszám,4,db,1,eda60478582aaacaa23aba2d1e761bb5867bf31a41dcc7a2f45c433c9931c4a6
darabszám,1,db,1,eda60478582aaacaa23aba2d1e761bb5867bf31a41dcc7a2f45c433c9931c4a6
tömeg,0.25,kg,1,eda60478582aaacaa23aba2d1e761bb5867bf31a41dcc7a2f45c433c9931c4a6
darabszám,3,db,1,997d15de4b03df4f0fdb5548abb528768492def2e6dd14be1a1dc40e51f070b2
darabszám,1,db,1,997d15de4b03df4f0fdb5548abb528768492def2e6dd14be1a1dc40e51f070b2
tömeg,0.18,kg,1,997d15de4b03df4f0fdb5548abb528768492def2e6dd14be1a1dc40e51f070b2
tömeg,0.25,kg,1,e80af0c7e679af3e16083db33f8a8864c960615eff336d5e745588f319891229
tömeg,0.05,kg,6,4f40aed32ed1986bc798cffb60e086589a9df2fb9af39b95cadfab18140040e5
darabszám,6,db,1,d1eca5309eafe5455145aeca0796caf50b742f5aa939315c75dbfd07f6c44370
darabszám,1,db,1,d1eca5309eafe5455145aeca0796caf50b742f5aa939315c75dbfd07f6c44370
tömeg,0.3,kg,1,d1eca5309eafe5455145aeca0796caf50b742f5aa939315c75dbfd07f6c44370
tömeg,0.065,kg,4,a897adad553790cf4d5a700c1afc61b94ee81072d9fb5209d7b64187db46afd9
tömeg,0.075,kg,2,db31ad6bcb27b275966b914f5e2a0f0e229c79ef9acd48bf86fc7e56aa2d1af4
darabszám,5,db,1,467bd5ca3967ffadd5ebeb72549bbe9aa6a6ffc176aeed806fbb083c4bf57aaf
darabszám,1,db,1,467bd5ca3967ffadd5ebeb72549bbe9aa6a6ffc176aeed806fbb083c4bf57aaf
tömeg,0.4,kg,1,467bd5ca3967ffadd5ebeb72549bbe9aa6a6ffc176aeed806fbb083c4bf57aaf
tömeg,0.32,kg,1,dc80259d09b55308cfb71d77448a2855ab2c29120149eb60b20dcc1711ce778f
tömeg,0.1,kg,1,c5725a240a06d1dbe28eeeefd402b2812da62bbce95e47a148ce2650d59fe0a7
tömeg,0.1,kg,1,3b46b85c58cabd35bd826fdc0c5d15d47e21ccb58d37dbd24022b4a1926a16c4
tömeg,0.12,kg,1,5f4f2de147f920d18b1accc636e578c76ed1a7e2cd07c7af29434e10ad202e5d
tömeg,0.24,kg,1,1c2e3f5186b4c2f8efc186768b5f4a01ff31115b9f828fbc8b0362497de52d56
tömeg,0.2,kg,1,72b2ad022202217780216c5ea72bd1dc70e9cd0524f71a439bec5a312f4dd022
tömeg,0.35,kg,1,d0c7f17b426e9f93c35292da3ceb4889cf3304e3eb246640e4353285dee62db7
tömeg,0.5,kg,1,cfb5950a8b82da2ebb30a597482e7a3c1ed1a369447f72df3bcdf9f0d40c41fb
tömeg,0.625,kg,1,6640599d519ae7c70c85520fa964b916e9777b4db179a2c4e2cb42529e2098ea
