ertek,egyseg,egyedi_hash
3198,Ft/kg,3531014bdd15da9f1253ceabbee37c61857044ab0b4c8fe5a85178c33af8a0ac
2598,Ft/kg,3531014bdd15da9f1253ceabbee37c61857044ab0b4c8fe5a85178c33af8a0ac
4165,Ft/kg,4df8c88b6194b143882e304fb8cad6638708281a9211bcb0284cb12cf5c3abc3
3698,Ft/kg,4df8c88b6194b143882e304fb8cad6638708281a9211bcb0284cb12cf5c3abc3
2490,Ft/kg,091d208bd5c36c0a7532787ff6135098da9853084e11b1bb147658150e93fab4
5326.67,Ft/kg,9c10883bd65844e7d8413ecb40faebbbad23337f6a44e090fa84bf6d4fbfc59d
3701.85,Ft/kg,3032510cfbd37ad2848c1c2f6cc0ece5e3db0d06443da7e8a393a0e222041165
3196,Ft/kg,a1a0971df89efb505b840a7bd1b37d67b13f1183c678ddf33bc63b1654e52117
2396,Ft/kg,a1a0971df89efb505b840a7bd1b37d67b13f1183c678ddf33bc63b1654e52117
5494,Ft/kg,ec2c8ec5d4e5046d5e8dec115494d2a4d52741d9e1915e8ac48449d422a3e2b8
4161,Ft/kg,ec2c8ec5d4e5046d5e8dec115494d2a4d52741d9e1915e8ac48449d422a3e2b8
4369,Ft/kg,05030e60b4b2c911e76fa18c36a04a685925d56adc59bb636f700ccb5b05e4c2
2961,Ft/kg,05030e60b4b2c911e76fa18c36a04a685925d56adc59bb636f700ccb5b05e4c2
16248,Ft/kg,db87af6f1b9e6b672c961df5f46d52c4b92b42e06c614a238962e1a947fa9501
11248,Ft/kg,db87af6f1b9e6b672c961df5f46d52c4b92b42e06c614a238962e1a947fa9501
3499,Ft/kg,3a7149f75d44fb0e8b80c0b7b37937e00d338e755e3f333becd4c9e521933c8b
2836,Ft/kg,3a7149f75d44fb0e8b80c0b7b37937e00d338e755e3f333becd4c9e521933c8b
2292,Ft/kg,42c6ef4a8bc29f98df5f80fb3fe13bd4867a669e239fe5ef818303cb5f5b76ac
1932,Ft/kg,42c6ef4a8bc29f98df5f80fb3fe13bd4867a669e239fe5ef818303cb5f5b76ac
6198,Ft/kg,8199ba75545a888771bc4274f7ec256ba4b5e8a793e8e1cbd632c1399f49fd7a
4398,Ft/kg,8199ba75545a888771bc4274f7ec256ba4b5e8a793e8e1cbd632c1399f49fd7a
4139.06,Ft/kg,e4a035e4d6b42f50fab9bf53c449a45ee5568e735be1ed3adc7cd53c8b1978aa
5788,Ft/kg,b80411eedee61f4f9dcdbdc4932b76a0d9440e47caaaff5aa3db94ca28ec080b
4631,Ft/kg,b80411eedee61f4f9dcdbdc4932b76a0d9440e47caaaff5aa3db94ca28ec080b
4757,Ft/kg,529f7b0e74a4363d67d20cc0613476c139f4fa7cdce454406f504bd09bf9cb7c
4281,Ft/kg,529f7b0e74a4363d67d20cc0613476c139f4fa7cdce454406f504bd09bf9cb7c
6395,Ft/kg,6a758aee6c1080d23034d2078bdd33ab03a9ac3cf5f6fccddc52f957feac6ad9
4995,Ft/kg,6a758aee6c1080d23034d2078bdd33ab03a9ac3cf5f6fccddc52f957feac6ad9
4247.5,Ft/kg,3919f0f52d4193195ec25a539cc94c0ff7ffb9145605ed8e9a5cb2154a0f9378
7989,Ft/kg,cba68defea3b035553f5d81115a0e3ad7518f465a6307d4ce49efc56136ca0bf
6100,Ft/kg,cba68defea3b035553f5d81115a0e3ad7518f465a6307d4ce49efc56136ca0bf
4396,Ft/kg,10380aff3639eee0da2adf60cbe9851eab2624a019b67abbbefa1399e1ed9358
3956,Ft/kg,10380aff3639eee0da2adf60cbe9851eab2624a019b67abbbefa1399e1ed9358
4115,Ft/kg,0082dfdd892b4c3cd89c4329730b1794237ccaf51d876a6aef88915b00694243
2938,Ft/kg,0082dfdd892b4c3cd89c4329730b1794237ccaf51d876a6aef88915b00694243
4663,Ft/kg,b8e3a86baf6571d84e4b040299898d12b0d973131a9e2c5a25926d2d9f44d882
